therapy,scenario,from_state,to_state,probability_per_8wk_cycle,variable_name
IFX,base,Mod/Sev Response,Surgery,0.043905856027270616,p_ifx_resp_surgery
IFX,base,Mod/Sev Response,Death,0.00011470754145817002,p_ifx_resp_death
IFX,base,Mild,Mod/Sev Non-Resp,0.09402009461255523,p_ifx_mild_nonresp
IFX,base,Mild,Mod/Sev Response,0.43976227089428316,p_ifx_mild_resp
IFX,base,Mild,Mild,0.43976227089428316,p_ifx_mild_mild
IFX,base,Mild,Remission,0.026340489267349238,p_ifx_mild_remission
IFX,base,Mild,Surgery,0,p_ifx_mild_surgery
IFX,base,Mild,Death,0.00011487433152901123,p_ifx_mild_death
IFX,base,Remission,Mod/Sev Non-Resp,0,p_ifx_remission_nonresp
IFX,base,Remission,Mod/Sev Response,0,p_ifx_remission_resp
IFX,base,Remission,Mild,0.03790142738924738,p_ifx_remission_mild
IFX,base,Remission,Remission,0.9618677451251268,p_ifx_remission_remission
IFX,base,Remission,Surgery,0,p_ifx_remission_surgery
IFX,base,Remission,Death,0.00023082748562583413,p_ifx_remission_death
IFX,base,Surgery,Mod/Sev Non-Resp,0.04053721745018844,p_ifx_surgery_nonresp
IFX,base,Surgery,Mod/Sev Response,0.02670682630921707,p_ifx_surgery_resp
IFX,base,Surgery,Mild,0.02670682630921707,p_ifx_surgery_mild
IFX,base,Surgery,Remission,0.6775638261394136,p_ifx_surgery_remission
IFX,base,Surgery,Surgery,0.2283226537286116,p_ifx_surgery_surgery
IFX,base,Surgery,Death,0.0001626500633522675,p_ifx_surgery_death
CT,base,Mod/Sev,Mod/Sev,0.6486041497448963,p_ct_modsev_nonresp
CT,base,Mod/Sev,Mod/Sev Response,0.12036670724591438,p_ct_modsev_resp
CT,base,Mod/Sev,Mild,0.12036670724591438,p_ct_modsev_mild
CT,base,Mod/Sev,Remission,0,p_ct_modsev_remission
CT,base,Mod/Sev,Surgery,0.11050671402104846,p_ct_modsev_surgery
CT,base,Mod/Sev,Death,0.00015572174222641433,p_ct_modsev_death
CT,base,Mod/Sev Response,Mod/Sev,0.10061889640047218,p_ct_resp_nonresp
CT,base,Mod/Sev Response,Mod/Sev Response,0.4110267479400568,p_ct_resp_resp
CT,base,Mod/Sev Response,Mild,0.4110267479400568,p_ct_resp_mild
CT,base,Mod/Sev Response,Remission,0,p_ct_resp_remission
CT,base,Mod/Sev Response,Surgery,0.07721879401299978,p_ct_resp_surgery
CT,base,Mod/Sev Response,Death,0.00010881370641458559,p_ct_resp_death
CT,base,Mild,Mod/Sev,0.15147434639659543,p_ct_mild_nonresp
CT,base,Mild,Mod/Sev Response,0.414490171320862,p_ct_mild_resp
CT,base,Mild,Mild,0.414490171320862,p_ct_mild_mild
CT,base,Mild,Remission,0.01943558036132467,p_ct_mild_remission
CT,base,Mild,Surgery,0,p_ct_mild_surgery
CT,base,Mild,Death,0.00010973060035600694,p_ct_mild_death
CT,base,Remission,Mod/Sev,0,p_ct_remission_nonresp
CT,base,Remission,Mod/Sev Response,0,p_ct_remission_resp
CT,base,Remission,Mild,0.1172225459262995,p_ct_remission_mild
CT,base,Remission,Remission,0.8825656570608339,p_ct_remission_remission
CT,base,Remission,Surgery,0,p_ct_remission_surgery
CT,base,Remission,Death,0.00021179701286662555,p_ct_remission_death
CT,base,Surgery,Mod/Sev,0.04053721745018844,p_ct_surgery_nonresp
CT,base,Surgery,Mod/Sev Response,0.02670682630921707,p_ct_surgery_resp
CT,base,Surgery,Mild,0.02670682630921707,p_ct_surgery_mild
CT,base,Surgery,Remission,0.6775638261394136,p_ct_surgery_remission
CT,base,Surgery,Surgery,0.2283226537286116,p_ct_surgery_surgery
CT,base,Surgery,Death,0.0001626500633522675,p_ct_surgery_death
